iter	Logloss
0	0.6656486964
1	0.6404634742
2	0.6171119268
3	0.5972033323
4	0.577272811
5	0.5600774294
6	0.5432886408
7	0.5287957904
8	0.5146471885
9	0.501729775
10	0.4902653304
11	0.4796827482
12	0.4694198965
13	0.4596465068
14	0.4509130312
15	0.4426341871
16	0.4354401447
17	0.4287995074
18	0.4225053058
19	0.4164476948
20	0.4111983739
21	0.4064143056
22	0.4013297663
23	0.3971099366
24	0.3933486134
25	0.3893272383
26	0.3858638977
27	0.3827046089
28	0.379787518
29	0.3771167109
30	0.3740160418
31	0.3713267687
32	0.3688663435
33	0.3664043481
34	0.364580599
35	0.3624523668
36	0.360504393
37	0.3582781715
38	0.3567689038
39	0.3550680743
40	0.3534468348
41	0.35191059
42	0.3504727402
43	0.3488838645
44	0.3476625691
45	0.346612753
46	0.3454427817
47	0.3442384782
48	0.3433534029
49	0.3423068693
50	0.3411283395
51	0.3401457676
52	0.3389491712
53	0.3382198646
54	0.3374188443
55	0.3365819553
56	0.3358540311
57	0.3352033847
58	0.3344059067
59	0.3336577415
60	0.3330967627
61	0.3322950922
62	0.3316824335
63	0.3311489145
64	0.3305133314
65	0.3299245271
66	0.3294614343
67	0.3289766951
68	0.3285635737
69	0.3278671475
70	0.3273828446
71	0.3269855969
72	0.3266116353
73	0.3260721539
74	0.3256407731
75	0.3252176889
76	0.3248408927
77	0.3244688404
78	0.3241438415
79	0.3237672251
80	0.3233952402
81	0.3230482284
82	0.3226920404
83	0.3223728433
84	0.3220641867
85	0.3217887741
86	0.3214767248
87	0.3212140969
88	0.3208579034
89	0.3205336445
90	0.3203055254
91	0.3199732508
92	0.3197626386
93	0.3194867359
94	0.3191333029
95	0.3188739489
96	0.3186735553
97	0.3184636184
98	0.3180513798
99	0.317837437
100	0.3175640527
101	0.3173036341
102	0.3170969266
103	0.3168427268
104	0.3165561377
105	0.3163752522
106	0.316122885
107	0.3159434978
108	0.3157892375
109	0.3155607837
110	0.3152821783
111	0.3151299215
112	0.3149177333
113	0.314750859
114	0.3145361114
115	0.3143356758
116	0.3141157893
117	0.3138842052
118	0.3137332837
119	0.3134571501
120	0.3132527968
121	0.3130032983
122	0.3128616104
123	0.3126379285
124	0.3124401227
125	0.3122815211
126	0.3121339754
127	0.3118124624
128	0.3115034685
129	0.3113369331
130	0.311191514
131	0.311078716
132	0.3109614624
133	0.310828483
134	0.3106856431
135	0.3105608512
136	0.310436366
137	0.3103226073
138	0.3100171029
139	0.3098610313
140	0.309715465
141	0.3094987413
142	0.3093266877
143	0.3091835552
144	0.3090716932
145	0.3089610606
146	0.3088723965
147	0.3087194366
148	0.3086123609
149	0.308530916
150	0.3083127815
151	0.3082586584
152	0.3080340965
153	0.3078266155
154	0.3077548004
155	0.3076150099
156	0.3075111625
157	0.3074080817
158	0.3072743521
159	0.3071467919
160	0.3069762615
161	0.306901279
162	0.306665988
163	0.306594343
164	0.3064753901
165	0.3063460099
166	0.3062107733
167	0.3061211567
168	0.3060271095
169	0.3059089125
170	0.3058120398
171	0.3056580551
172	0.3054980634
173	0.3053467877
174	0.3052200395
175	0.3050948728
176	0.3049616998
177	0.3048393386
178	0.3047654351
179	0.3045853567
180	0.3045171259
181	0.3044131721
182	0.3043467893
183	0.3042672005
184	0.304126549
185	0.3040343472
186	0.3039834334
187	0.3038220603
188	0.303775745
189	0.3037131093
190	0.3036277251
191	0.3035042273
192	0.3034088797
193	0.3033160864
194	0.3032399849
195	0.3031813514
196	0.3030968359
197	0.3030106843
198	0.3029368217
199	0.30277037
200	0.30273025
201	0.3025519059
202	0.3024670101
203	0.3023830567
204	0.3022049012
205	0.3020953913
206	0.3020454646
207	0.3018777873
208	0.3017398782
209	0.3016330069
210	0.3015017309
211	0.3014315863
212	0.3013622873
213	0.301232781
214	0.301157198
215	0.3010649379
216	0.30090477
217	0.3008189354
218	0.3006836875
219	0.3006157656
220	0.3005074976
221	0.3004068544
222	0.3002621815
223	0.3002045517
224	0.3001404741
225	0.3000221841
226	0.2999469092
227	0.2998288927
228	0.2997464417
229	0.2996909552
230	0.2995804012
231	0.2995053856
232	0.2994357449
233	0.2993146243
234	0.2992621655
235	0.2991565993
236	0.299102563
237	0.2990181004
238	0.2989664428
239	0.2988540621
240	0.2987742039
