iter	Passed	Remaining
0	318	954508
1	577	865076
2	872	872105
3	1181	885042
4	1427	855000
5	1630	813594
6	1855	793458
7	2120	793057
8	2369	787558
9	2635	787887
10	2947	800892
11	3223	802614
12	3479	799386
13	3766	803440
14	4042	804409
15	4324	806510
16	4602	807639
17	4869	806724
18	5137	806001
19	5425	808394
20	5746	815228
21	6053	819467
22	6324	818613
23	6647	824245
24	6949	826999
25	7217	825595
26	7481	823761
27	7774	825243
28	8069	826697
29	8327	824436
30	8586	822396
31	8880	823627
32	9135	821334
33	9476	826722
34	9774	828012
35	10101	831695
36	10365	830104
37	10673	831956
38	10971	832972
39	11303	836437
40	11618	838511
41	11933	840438
42	12212	839811
43	12492	839249
44	12759	837904
45	13006	835255
46	13314	836566
47	13612	837156
48	13894	836813
49	14187	837054
50	14511	839126
51	14806	839430
52	15131	841341
53	15412	840829
54	15771	844475
55	16080	845369
56	16400	846758
57	16705	847375
58	17033	849087
59	17340	849669
60	17637	849779
61	17954	850796
62	18230	849877
63	18479	847749
64	18780	847999
65	19109	849501
66	19427	850478
67	19732	850800
68	20039	851246
69	20344	851557
70	20698	853888
71	20983	853335
72	21352	856139
73	21669	856833
74	21987	857514
75	22301	858034
76	22629	859057
77	22977	860757
78	23310	861888
79	23593	861171
80	23945	862931
81	24267	863552
82	24577	863772
83	24867	863264
84	25167	863098
85	25421	861362
86	25702	860584
87	26020	861027
88	26358	862145
89	26654	861828
90	26912	860327
91	27214	860203
92	27483	859077
93	27810	859763
94	28117	859809
95	28411	859433
96	28705	859085
97	29011	859093
98	29302	858644
99	29565	857409
100	29883	857752
101	30214	858445
102	30490	857582
103	30833	858607
104	31221	860808
105	31513	860372
106	31819	860312
107	32133	860468
108	32418	859835
109	32705	859252
110	33014	859259
111	33320	859184
112	33606	858590
113	33910	858480
114	34178	857435
115	34461	856784
116	34740	856037
117	35073	856630
118	35381	856598
119	35647	855542
120	35935	855023
121	36256	855301
122	36526	854356
123	36854	854783
124	37123	853832
125	37368	852350
126	37685	852528
127	37985	852299
128	38264	851610
129	38565	851414
130	38863	851141
131	39164	850945
132	39452	850464
133	39724	849632
134	40003	848973
135	40300	848684
136	40549	847393
137	40809	846348
138	41154	847062
139	41455	846886
140	41778	847134
141	42047	846282
142	42349	846105
143	42663	846164
144	42928	845244
145	43209	844657
146	43487	844011
147	43794	843941
148	44092	843666
149	44355	842751
150	44648	842411
151	44925	841753
152	45208	841238
153	45544	841677
154	45778	840248
155	46048	839497
156	46334	839041
157	46603	838271
158	46883	837716
159	47135	836651
160	47418	836149
161	47655	834854
162	47943	834457
