iter	Logloss
0	0.6655850105
1	0.6398550891
2	0.6165706483
3	0.5959722314
4	0.5775161922
5	0.5593770641
6	0.5422954666
7	0.5278712428
8	0.5138115474
9	0.5007856018
10	0.4893006085
11	0.4779842824
12	0.4681857059
13	0.4585362738
14	0.449266079
15	0.441143602
16	0.4332857383
17	0.4259912328
18	0.419443895
19	0.4137147786
20	0.4084461034
21	0.4035250465
22	0.3984516767
23	0.3937824923
24	0.3893640352
25	0.3856022808
26	0.382323281
27	0.3790917317
28	0.3758594375
29	0.3726655774
30	0.3699732107
31	0.3674126949
32	0.3649935523
33	0.3627077058
34	0.3604713444
35	0.3584840149
36	0.3565858329
37	0.3548308141
38	0.3531953499
39	0.3516981905
40	0.3503006571
41	0.3488631832
42	0.3475166747
43	0.3461292806
44	0.3449096367
45	0.3438829188
46	0.34284888
47	0.3417740946
48	0.3407687117
49	0.3396839426
50	0.3387898428
51	0.3378601217
52	0.3369665277
53	0.3362069859
54	0.3353888647
55	0.3346757672
56	0.3339746102
57	0.3332642866
58	0.3326070391
59	0.3320425025
60	0.3314580595
61	0.3308392016
62	0.330312582
63	0.3297299679
64	0.3291861269
65	0.3286733322
66	0.3281433106
67	0.3277100189
68	0.3272390658
69	0.3267824046
70	0.3263086109
71	0.3258220152
72	0.325326453
73	0.324938316
74	0.3245227626
75	0.3241553102
76	0.3237704585
77	0.3234178815
78	0.3230577501
79	0.3227049453
80	0.3223462703
81	0.3220022095
82	0.3217221759
83	0.3213838853
84	0.3210328926
85	0.3206971757
86	0.3204682448
87	0.3201951264
88	0.3199404745
89	0.3196645433
90	0.3193203825
91	0.3190079295
92	0.3188024181
93	0.3185949721
94	0.3183688317
95	0.3181221235
96	0.3179426665
97	0.317678509
98	0.3175119318
99	0.317286553
100	0.3171126159
101	0.3169434039
102	0.3166951948
103	0.316447158
104	0.3161749846
105	0.3160127156
106	0.3158105283
107	0.3156009756
108	0.3153796103
109	0.3151712916
110	0.3149677647
111	0.3146888317
112	0.3145116149
113	0.3143453491
114	0.3140443029
115	0.3138700934
116	0.3137268135
117	0.3135433708
118	0.3133721076
119	0.3132419522
120	0.3130634179
121	0.312885673
122	0.3126354183
123	0.3124730325
124	0.3123524384
125	0.3121509238
126	0.3119397645
127	0.3117670226
128	0.3116494581
129	0.3115030319
130	0.31135824
131	0.3112297411
132	0.3110944716
133	0.3109627208
134	0.3108075838
135	0.3105663455
136	0.3104026534
137	0.3102534978
138	0.3101058876
139	0.3099721078
140	0.3098523531
141	0.3097255219
142	0.3095676555
143	0.3094055477
144	0.3092857985
145	0.3091638314
146	0.3089124926
147	0.3086783585
148	0.3085106919
149	0.3083503185
150	0.3082478407
151	0.3081389535
152	0.3080515069
153	0.3079222688
154	0.3078342496
155	0.3077636686
156	0.3076274763
157	0.3075558725
158	0.3074256726
159	0.30733369
160	0.3071685137
161	0.3069984178
162	0.3068792746
163	0.3067145486
164	0.3065671384
165	0.3064381448
166	0.3063252275
167	0.3061648485
168	0.3060698975
169	0.3059491421
170	0.3058802232
171	0.3058012206
172	0.3056708428
173	0.3055493037
174	0.3054458698
175	0.3053649382
176	0.3052535106
177	0.3051381752
178	0.3050304109
179	0.3049551216
180	0.3048093624
181	0.3046324236
182	0.3045426867
183	0.3044275681
184	0.3042881961
185	0.304228466
186	0.3041272334
187	0.3040218317
188	0.3039091478
189	0.3037938402
190	0.3036844027
191	0.3035787286
192	0.3034997926
193	0.3034157869
194	0.3032954485
195	0.3032016148
196	0.3030913824
197	0.3029683701
198	0.3028963772
199	0.302764543
200	0.3026455165
201	0.3025294806
202	0.3023906478
203	0.3023024786
204	0.302230419
205	0.3021674648
206	0.3020592058
207	0.3019842277
208	0.3018227703
209	0.3017352792
210	0.3016698791
211	0.3015957572
212	0.3015118905
213	0.3014235489
214	0.3013564923
215	0.3012867229
216	0.3011909936
217	0.3010954699
218	0.3009252351
219	0.3008522582
220	0.3007637499
221	0.3006910899
222	0.3005954884
223	0.3005296659
224	0.3004776237
225	0.3004402848
226	0.3004142415
227	0.3003713659
228	0.3002985169
229	0.3001460927
230	0.3000281501
231	0.2999870534
232	0.2999326876
233	0.2998651029
234	0.2997762666
235	0.299704496
236	0.2995715556
237	0.2994998128
238	0.2993987748
239	0.2993454875
240	0.2992714544
241	0.2991794996
242	0.2991338446
243	0.299049561
244	0.2989624479
245	0.2989280441
246	0.29883167
247	0.2987398541
248	0.2986990742
249	0.2986397166
250	0.298573516
251	0.2984692427
252	0.2983405493
253	0.2982672222
254	0.2981995319
255	0.2981301405
256	0.2980660022
257	0.2979826637
258	0.2979224277
259	0.2978234632
260	0.2977307634
261	0.2976731013
262	0.2975729805
263	0.2974815871
264	0.2974355874
265	0.2973773193
266	0.2973111132
267	0.2972320271
268	0.297174882
269	0.2970784633
270	0.2970089552
271	0.2969444612
272	0.2968874272
273	0.2968091472
274	0.2967317566
275	0.2966501802
276	0.2965963647
277	0.2965424715
278	0.2964780553
279	0.2963898805
280	0.296343425
281	0.2962930839
282	0.2962491243
283	0.2961144996
284	0.29604801
285	0.2960104654
286	0.2959793468
287	0.2959359654
288	0.2958695813
289	0.2957912068
290	0.2956862609
291	0.2956301219
292	0.2955454714
293	0.2954310921
294	0.2953730408
295	0.2953138777
296	0.2952501898
297	0.2951947011
298	0.29512571
299	0.2950680534
300	0.2949795728
301	0.2949288926
302	0.294890881
303	0.2948156028
304	0.2947355273
305	0.2946860255
306	0.2946141049
307	0.2945437407
308	0.2944205339
309	0.2943546112
310	0.2943010293
311	0.2942069732
312	0.294117959
313	0.2940506189
314	0.2939999275
315	0.2939633946
316	0.2939243213
317	0.2938524951
318	0.2937960281
319	0.2937296163
320	0.2936744334
321	0.2935789431
322	0.2935042208
323	0.2934718459
324	0.2934036275
325	0.2933625697
326	0.2933132347
327	0.2932481514
328	0.2932197567
329	0.2931389641
330	0.2930960218
331	0.2930448524
332	0.2930115159
333	0.2929648714
334	0.2929111171
335	0.2928239207
336	0.292797227
337	0.2927461465
338	0.2926806241
339	0.2925965462
340	0.2925464218
341	0.2925012394
342	0.2924316479
343	0.292382513
344	0.2923521671
345	0.2922880678
346	0.2922507344
347	0.2921588074
348	0.2920837404
349	0.2920044042
350	0.2919569481
351	0.2918846661
352	0.291855671
